"symbol","count","avg_price","max_price","min_price","total_volume","time","diff"
"NVDA","1","208.07","208.07","208.07","0","1762187728368","1"
"GOOGL","1","282.66","282.66","282.66","0","1762187728368","1"
"AMZN","1","255.3","255.3","255.3","0","1762187728368","1"
"MSFT","1","519.37","519.37","519.37","0","1762187728368","1"
"NVDA","1","208.07","208.07","208.07","0","1762187792368","-1"
"MSFT","1","519.37","519.37","519.37","0","1762187792368","-1"
"GOOGL","1","282.66","282.66","282.66","0","1762187792368","-1"
"AMZN","1","255.3","255.3","255.3","0","1762187792368","-1"
"GOOGL","2","282.63","282.66","282.6","0","1762187792368","1"
"AMZN","2","255.27","255.3","255.24","0","1762187792368","1"
"NVDA","2","208.14999999999998","208.23","208.07","0","1762187792368","1"
"MSFT","2","519.255","519.37","519.14","0","1762187792368","1"
