"symbol","timestamp","current_price","cash_balance","position_size","entry_price","portfolio_value","pnl","total_trades","trade_log","time","diff"
"AAPL","1702011600000","195.710007","10000.0","0.0","0.0","10000.0","0.0","0","","1765050276224","1"
"AAPL","1702011600000","195.710007","10000.0","0.0","0.0","10000.0","0.0","0","","1765050301212","-1"
"AAPL","1702270800000","193.179993","10000.0","0.0","0.0","10000.0","0.0","0","","1765050301212","1"
"AAPL","1702270800000","193.179993","10000.0","0.0","0.0","10000.0","0.0","0","","1765050310212","-1"
"AAPL","1702357200000","194.710007","10000.0","0.0","0.0","10000.0","0.0","0","","1765050310212","1"
"AAPL","1702357200000","194.710007","10000.0","0.0","0.0","10000.0","0.0","0","","1765050319212","-1"
"AAPL","1702443600000","197.960007","10000.0","0.0","0.0","10000.0","0.0","0","","1765050319212","1"
"AAPL","1702443600000","197.960007","10000.0","0.0","0.0","10000.0","0.0","0","","1765050327216","-1"
"AAPL","1702530000000","198.110001","10000.0","0.0","0.0","10000.0","0.0","0","","1765050327216","1"
"AAPL","1702530000000","198.110001","10000.0","0.0","0.0","10000.0","0.0","0","","1765050336214","-1"
"AAPL","1702616400000","197.570007","10000.0","0.0","0.0","10000.0","0.0","0","","1765050336214","1"
"AAPL","1702616400000","197.570007","10000.0","0.0","0.0","10000.0","0.0","0","","1765050362212","-1"
"AAPL","1702875600000","195.889999","10000.0","0.0","0.0","10000.0","0.0","0","","1765050362212","1"
"AAPL","1702875600000","195.889999","10000.0","0.0","0.0","10000.0","0.0","0","","1765050371216","-1"
"AAPL","1702962000000","196.940002","10000.0","0.0","0.0","10000.0","0.0","0","","1765050371216","1"
"AAPL","1702962000000","196.940002","10000.0","0.0","0.0","10000.0","0.0","0","","1765050379214","-1"
"AAPL","1703048400000","194.830002","10000.0","0.0","0.0","10000.0","0.0","0","","1765050379214","1"
"AAPL","1703048400000","194.830002","10000.0","0.0","0.0","10000.0","0.0","0","","1765050388216","-1"
"AAPL","1703134800000","194.679993","10000.0","0.0","0.0","10000.0","0.0","0","","1765050388216","1"
"AAPL","1703134800000","194.679993","10000.0","0.0","0.0","10000.0","0.0","0","","1765050396212","-1"
"AAPL","1703221200000","193.600006","10000.0","0.0","0.0","10000.0","0.0","0","","1765050396212","1"
"AAPL","1703221200000","193.600006","10000.0","0.0","0.0","10000.0","0.0","0","","1765050431212","-1"
"AAPL","1703566800000","193.050003","10000.0","0.0","0.0","10000.0","0.0","0","","1765050431212","1"
"AAPL","1703566800000","193.050003","10000.0","0.0","0.0","10000.0","0.0","0","","1765050440212","-1"
"AAPL","1703653200000","193.149994","10000.0","0.0","0.0","10000.0","0.0","0","","1765050440212","1"
